Country,Sex,Cause,Value,Low,High
Angola,Female,Chronic obstructive pulmonary disease,168.61888,18.58308,437.95596
Angola,Female,Ischaemic heart disease,951.40085,348.36605,1507.39008
Angola,Female,Lower respiratory infections,1624.97308,206.75537,3410.46134
Angola,Female,Stroke,651.8057,139.54827,1301.70176
Angola,Female,"Trachea, bronchus, lung cancers",18.0668,1.80836,49.31846
Angola,Male,Chronic obstructive pulmonary disease,185.65226,20.46028,482.19697
Angola,Male,Ischaemic heart disease,1133.37014,414.99614,1795.70042
Angola,Male,Lower respiratory infections,2278.86082,289.95355,4782.82799
Angola,Male,Stroke,756.27379,161.91436,1510.33187
Angola,Male,"Trachea, bronchus, lung cancers",24.90794,2.49311,67.99329
Albania,Both,Chronic obstructive pulmonary disease,104.11903,29.24764,231.13009
Albania,Both,Ischaemic heart disease,1721.60458,1051.98604,2244.28487
Albania,Both,Lower respiratory infections,104.01207,50.47636,161.21966
Albania,Both,Stroke,1028.70293,488.20818,1624.32048
Albania,Both,"Trachea, bronchus, lung cancers",77.47336,40.10288,125.49689
Albania,Female,Chronic obstructive pulmonary disease,47.39269,13.31288,105.20534
Albania,Female,Ischaemic heart disease,934.76995,571.19094,1218.56673
Albania,Female,Lower respiratory infections,56.17554,27.26161,87.07259
Albania,Female,Stroke,625.23835,296.72947,987.25047
Albania,Female,"Trachea, bronchus, lung cancers",12.0679,6.24676,19.54845
Albania,Male,Chronic obstructive pulmonary disease,56.72633,15.93476,125.92475
Albania,Male,Ischaemic heart disease,786.83463,480.7951,1025.71814
Albania,Male,Lower respiratory infections,47.83654,23.21475,74.14707
Albania,Male,Stroke,403.46458,191.47871,637.07001
Albania,Male,"Trachea, bronchus, lung cancers",65.40546,33.85612,105.94844
United Arab Emirates,Both,Chronic obstructive pulmonary disease,191.93333,76.91527,352.73914
United Arab Emirates,Both,Ischaemic heart disease,1071.465,730.48501,1351.56807
United Arab Emirates,Both,Lower respiratory infections,209.34601,148.38938,272.89015
Angola,Both,"Trachea, bronchus, lung cancers",42.97475,4.30147,117.31175
Angola,Both,Stroke,1408.07949,301.46263,2812.03363
Angola,Both,Lower respiratory infections,3903.8339,496.70893,8193.28933
Angola,Both,Ischaemic heart disease,2084.77099,763.36219,3303.09051
Angola,Both,Chronic obstructive pulmonary disease,354.27115,39.04336,920.15293
Afghanistan,Male,"Trachea, bronchus, lung cancers",172.5404,111.44183,241.48036
Afghanistan,Male,Stroke,1666.44441,901.40125,2645.86171
Afghanistan,Male,Lower respiratory infections,2125.53762,1554.21461,2741.21625
Afghanistan,Male,Ischaemic heart disease,5839.13235,4155.66302,7398.90135
Afghanistan,Male,Chronic obstructive pulmonary disease,601.37307,261.30596,1058.777
Afghanistan,Female,"Trachea, bronchus, lung cancers",65.55293,42.33987,91.74515
Afghanistan,Female,Stroke,2385.16743,1290.16779,3786.99891
Afghanistan,Female,Lower respiratory infections,1760.94888,1287.62364,2271.02153
Afghanistan,Female,Ischaemic heart disease,5452.42911,3880.44948,6908.90063
Afghanistan,Female,Chronic obstructive pulmonary disease,572.91488,248.94043,1008.67353
Afghanistan,Both,"Trachea, bronchus, lung cancers",238.09334,153.78171,333.22551
Afghanistan,Both,Stroke,4051.61184,2191.56904,6432.86062
Afghanistan,Both,Lower respiratory infections,3886.4865,2841.83826,5012.23779
Afghanistan,Both,Ischaemic heart disease,11291.56146,8036.1125,14307.80198
Afghanistan,Both,Chronic obstructive pulmonary disease,1174.28794,510.24639,2067.45053
United Arab Emirates,Both,Stroke,368.06904,200.24309,555.72655
United Arab Emirates,Both,"Trachea, bronchus, lung cancers",31.1618,19.16117,45.82832
United Arab Emirates,Female,Chronic obstructive pulmonary disease,23.8385,9.55303,43.8109
United Arab Emirates,Female,Ischaemic heart disease,160.68534,109.54929,202.69181
United Arab Emirates,Female,Lower respiratory infections,51.22255,36.30775,66.77046
United Arab Emirates,Female,Stroke,103.39083,56.24841,156.10394
United Arab Emirates,Female,"Trachea, bronchus, lung cancers",7.13995,4.3903,10.50042
United Arab Emirates,Male,Chronic obstructive pulmonary disease,168.09483,67.36224,308.92824
United Arab Emirates,Male,Ischaemic heart disease,910.77966,620.93572,1148.87627
United Arab Emirates,Male,Lower respiratory infections,158.12346,112.08163,206.11969
United Arab Emirates,Male,Stroke,264.67821,143.99468,399.62261
United Arab Emirates,Male,"Trachea, bronchus, lung cancers",24.02185,14.77086,35.3279
Argentina,Both,Chronic obstructive pulmonary disease,2112.78242,475.08152,5055.58643
Argentina,Both,Ischaemic heart disease,8258.35032,4715.9291,11395.49929
Argentina,Both,Lower respiratory infections,5088.50323,1981.21512,9005.07968
Argentina,Both,Stroke,2142.28366,840.45903,3721.13014
Argentina,Both,"Trachea, bronchus, lung cancers",531.72627,223.0991,952.13767
Argentina,Female,Chronic obstructive pulmonary disease,1045.24132,235.03359,2501.11313
Argentina,Female,Ischaemic heart disease,4041.12579,2307.68397,5576.25243
Argentina,Female,Lower respiratory infections,2738.39001,1066.19559,4846.10485
Argentina,Female,Stroke,1086.88131,426.40442,1887.90442
Argentina,Female,"Trachea, bronchus, lung cancers",178.16841,74.75503,319.03795
Argentina,Male,Chronic obstructive pulmonary disease,1067.54109,240.04793,2554.4733
Argentina,Male,Ischaemic heart disease,4217.22454,2408.24513,5819.24687
Argentina,Male,Lower respiratory infections,2350.11322,915.01954,4158.97482
Argentina,Male,Stroke,1055.40235,414.05462,1833.22572
Argentina,Male,"Trachea, bronchus, lung cancers",353.55786,148.34407,633.09972
Armenia,Both,Chronic obstructive pulmonary disease,158.35955,55.36136,300.95264
Armenia,Both,Ischaemic heart disease,2174.18118,1456.16364,2812.72136
Armenia,Both,Lower respiratory infections,323.67852,205.82712,438.67633
Armenia,Both,Stroke,359.02618,180.97718,541.59144
Armenia,Both,"Trachea, bronchus, lung cancers",148.4099,81.7221,229.28264
Armenia,Female,Chronic obstructive pulmonary disease,69.31578,24.2323,131.7304
Armenia,Female,Ischaemic heart disease,1091.30976,730.90762,1411.81899
Armenia,Female,Lower respiratory infections,195.28282,124.18032,264.66369
Armenia,Female,Stroke,202.02898,101.83835,304.76097
Armenia,Female,"Trachea, bronchus, lung cancers",27.0727,14.90762,41.82538
Armenia,Male,Chronic obstructive pulmonary disease,89.04377,31.12906,169.22224
Armenia,Male,Ischaemic heart disease,1082.87142,725.25602,1400.90237
Armenia,Male,Lower respiratory infections,128.3957,81.64681,174.01264
Armenia,Male,Stroke,156.9972,79.13883,236.83047
Armenia,Male,"Trachea, bronchus, lung cancers",121.3372,66.81448,187.45726
Antigua and Barbuda,Both,Chronic obstructive pulmonary disease,1.09638,0.14099,3.11365
Antigua and Barbuda,Both,Ischaemic heart disease,12.35738,6.499,18.05822
Antigua and Barbuda,Both,Lower respiratory infections,1.97203,0.40753,4.35665
Antigua and Barbuda,Both,Stroke,5.27583,1.48449,10.5178
Antigua and Barbuda,Both,"Trachea, bronchus, lung cancers",0.21696,0.06305,0.4547
Antigua and Barbuda,Female,Chronic obstructive pulmonary disease,0.47126,0.0606,1.33834
Antigua and Barbuda,Female,Ischaemic heart disease,5.8877,3.09647,8.60388
Antigua and Barbuda,Female,Lower respiratory infections,1.04182,0.2153,2.3016
Antigua and Barbuda,Female,Stroke,2.96221,0.8335,5.90541
Antigua and Barbuda,Female,"Trachea, bronchus, lung cancers",0.04951,0.01439,0.10377
Antigua and Barbuda,Male,Chronic obstructive pulmonary disease,0.62512,0.08039,1.77531
Antigua and Barbuda,Male,Ischaemic heart disease,6.46967,3.40254,9.45433
Antigua and Barbuda,Male,Lower respiratory infections,0.93022,0.19223,2.05505
Antigua and Barbuda,Male,Stroke,2.31362,0.651,4.61239
Antigua and Barbuda,Male,"Trachea, bronchus, lung cancers",0.16745,0.04866,0.35094
Australia,Both,Chronic obstructive pulmonary disease,591.92925,115.53519,1504.32071
Australia,Both,Ischaemic heart disease,3205.90052,1781.93947,4440.49978
Australia,Both,Lower respiratory infections,408.83309,134.58765,818.41796
Australia,Both,Stroke,788.05376,291.68934,1451.74034
Australia,Both,"Trachea, bronchus, lung cancers",318.24332,148.26463,573.73723
Australia,Female,Chronic obstructive pulmonary disease,279.67003,54.58715,710.74951
Australia,Female,Ischaemic heart disease,1415.95185,787.03019,1961.23799
Australia,Female,Lower respiratory infections,225.67524,74.29218,451.76546
Australia,Female,Stroke,458.02011,169.53105,843.7575
Australia,Female,"Trachea, bronchus, lung cancers",129.96412,60.54827,234.30265
Australia,Male,Chronic obstructive pulmonary disease,312.25922,60.94804,793.57121
Australia,Male,Ischaemic heart disease,1789.94867,994.90928,2479.26179
Australia,Male,Lower respiratory infections,183.15785,60.29547,366.6525
Australia,Male,Stroke,330.03365,122.15829,607.98284
Australia,Male,"Trachea, bronchus, lung cancers",188.2792,87.71636,339.43457
Austria,Both,Chronic obstructive pulmonary disease,370.99436,84.26971,886.57308
Austria,Both,Ischaemic heart disease,3018.87066,1772.43825,4034.20378
Austria,Both,Lower respiratory infections,191.3068,75.22084,337.202
Austria,Both,Stroke,490.43753,200.29706,844.03128
