Region,Sex,Age Group,Cause,Value,Low,High
Africa,Both,80+,Stroke,12098.74939,6238.35297,18341.27341
Africa,Both,All,Stroke,61986.77548,32424.38942,93620.35582
Africa,Both,25-29,Chronic obstructive pulmonary disease,82.85815,30.77804,156.81385
Africa,Both,30-34,Chronic obstructive pulmonary disease,125.6255,46.12674,234.37985
Africa,Both,35-39,Chronic obstructive pulmonary disease,148.12048,53.38179,284.99058
Africa,Both,40-44,Chronic obstructive pulmonary disease,233.67938,84.47049,450.01783
Africa,Both,45-49,Chronic obstructive pulmonary disease,414.6345,152.22144,799.28152
Africa,Both,50-54,Chronic obstructive pulmonary disease,785.71121,294.4596,1509.0583
Africa,Both,55-59,Chronic obstructive pulmonary disease,1203.84886,440.29667,2323.61874
Africa,Both,60-64,Chronic obstructive pulmonary disease,1915.35362,705.622,3735.33883
Africa,Both,65-69,Chronic obstructive pulmonary disease,2698.24574,1008.3841,5224.22016
Africa,Both,70-74,Chronic obstructive pulmonary disease,3364.96573,1262.28951,6527.61451
Africa,Both,75-79,Chronic obstructive pulmonary disease,2916.97413,1093.43623,5687.58848
Africa,Both,25-29,Ischaemic heart disease,352.35354,221.28872,459.29
Africa,Both,30-34,Ischaemic heart disease,793.20689,502.57218,1027.52261
Africa,Both,35-39,Ischaemic heart disease,1369.06354,866.64634,1770.23657
Africa,Both,40-44,Ischaemic heart disease,2189.71078,1385.40691,2830.62216
Africa,Both,45-49,Ischaemic heart disease,3737.04685,2365.94195,4847.84658
Africa,Both,50-54,Ischaemic heart disease,5620.41748,3572.75413,7312.22447
Africa,Both,55-59,Ischaemic heart disease,7707.54728,4917.0785,10038.82985
Africa,Both,60-64,Ischaemic heart disease,10469.4491,6723.58001,13605.18252
Africa,Both,65-69,Ischaemic heart disease,13304.3247,8605.24645,17248.88252
Africa,Both,70-74,Ischaemic heart disease,15195.23862,9852.6951,19667.94604
Africa,Both,75-79,Ischaemic heart disease,13745.98838,8888.63788,17817.5703
Africa,Both,80+,Ischaemic heart disease,21905.3954,14106.30118,28537.97479
Africa,Both,All,Ischaemic heart disease,96389.74256,61958.56558,124642.8743
Africa,Both,25-29,Stroke,392.69765,204.012,589.03717
Africa,Both,30-34,Stroke,599.15911,310.26748,897.179
Africa,Both,35-39,Stroke,927.1699,481.79146,1393.92253
Africa,Both,40-44,Stroke,1687.37688,879.12179,2543.10187
Africa,Both,45-49,Stroke,2428.70778,1269.10536,3659.82152
Africa,Both,50-54,Stroke,3929.92094,2053.50042,5909.04991
Africa,Both,55-59,Stroke,5126.71604,2687.09915,7742.45988
Africa,Both,60-64,Stroke,7253.95998,3799.08894,10955.21533
Africa,Both,65-69,Stroke,8581.38058,4506.7733,12952.45982
Africa,Both,70-74,Stroke,9637.40284,5069.51254,14545.93883
Africa,Both,75-79,Stroke,9323.5344,4894.60346,14056.205
Africa,Both,80+,Chronic obstructive pulmonary disease,3692.00063,1351.0971,7203.86542
Africa,Both,50-54,"Trachea, bronchus, lung cancers",260.4414,150.75605,403.61405
Africa,Both,55-59,"Trachea, bronchus, lung cancers",326.57672,187.42102,505.6908
Africa,Both,60-64,"Trachea, bronchus, lung cancers",371.33739,210.74654,576.08405
Africa,Both,65-69,"Trachea, bronchus, lung cancers",352.48621,197.24113,545.91401
Africa,Both,70-74,"Trachea, bronchus, lung cancers",290.52839,161.83278,455.06828
Africa,Both,75-79,"Trachea, bronchus, lung cancers",222.25817,123.17793,349.30378
Africa,Both,All,Chronic obstructive pulmonary disease,17582.01792,6555.64008,34212.05728
Africa,Both,0-4,Lower respiratory infections,81670.17958,53655.77069,109965.9102
Africa,Both,5-9,Lower respiratory infections,5758.19762,3731.69642,7862.42173
