UN Region,Sex,Age Group,Cause,Value,Low,High
Central Asia,Both,55-59,Ischaemic heart disease,2338.84248,1601.38751,2996.28876
Central Asia,Both,60-64,Ischaemic heart disease,2984.89073,2038.45236,3824.51242
Central Asia,Both,65-69,Ischaemic heart disease,4424.01094,3025.62135,5674.40021
Central Asia,Both,70-74,Ischaemic heart disease,3403.5525,2323.03693,4365.81966
Central Asia,Both,75-79,Ischaemic heart disease,4834.78051,3302.91523,6205.83801
Central Asia,Both,80+,Ischaemic heart disease,11986.21314,8148.67226,15386.18818
Central Asia,Both,All,Ischaemic heart disease,33054.26936,22566.19137,42409.44026
Central Asia,Both,25-29,Stroke,26.02281,13.65708,39.43648
Central Asia,Both,30-34,Stroke,44.70031,23.64055,67.46736
Central Asia,Both,35-39,Stroke,86.08799,45.49779,129.97536
Central Asia,Both,40-44,Stroke,158.44157,84.07154,239.62117
Central Asia,Both,45-49,Stroke,283.80773,149.93265,428.57965
Central Asia,Both,50-54,Stroke,469.67079,248.71437,712.44684
Central Asia,Both,55-59,Stroke,859.96172,455.54385,1305.64067
Central Asia,Both,60-64,Stroke,1077.05126,573.62208,1628.70438
Central Asia,Both,65-69,Stroke,1502.38346,794.81736,2268.37716
Central Asia,Both,70-74,Stroke,1059.094,565.4864,1604.78816
Central Asia,Both,75-79,Stroke,1332.00016,707.7531,2003.31812
Central Asia,Both,80+,Stroke,2782.38017,1459.76676,4204.38282
Central Asia,Both,All,Stroke,9681.60197,5140.49008,14640.73641
Central Asia,Both,25-29,Chronic obstructive pulmonary disease,10.08909,3.96265,18.71671
Central Asia,Both,25-29,Ischaemic heart disease,79.02782,53.95411,101.24852
Central Asia,Both,30-34,Ischaemic heart disease,161.04131,110.10449,206.1158
Central Asia,Both,35-39,Ischaemic heart disease,278.63366,190.69544,356.87587
Central Asia,Both,40-44,Ischaemic heart disease,466.88092,319.28954,598.72754
Central Asia,Both,45-49,Ischaemic heart disease,819.03406,559.94488,1050.01573
Central Asia,Both,50-54,Ischaemic heart disease,1277.3613,873.32624,1637.02574
Central Asia,Both,5-9,Lower respiratory infections,121.48791,83.18055,165.17706
Central Asia,Both,65-69,Lower respiratory infections,217.73569,144.46749,296.90689
Central Asia,Both,70-74,Lower respiratory infections,143.35968,96.1944,194.46688
Central Asia,Both,75-79,Lower respiratory infections,178.87453,118.6993,245.03331
Central Asia,Both,80+,Lower respiratory infections,380.83739,251.33374,523.15014
Central Asia,Both,All,Lower respiratory infections,3432.67198,2349.61783,4653.77841
Central Asia,Both,25-29,"Trachea, bronchus, lung cancers",6.62866,3.94284,10.20046
Central Asia,Both,10-14,Lower respiratory infections,85.57682,58.46997,116.08137
Central Asia,Both,15-19,Lower respiratory infections,64.35842,44.22004,86.89485
Central Asia,Both,20-24,Lower respiratory infections,63.70629,43.83987,86.0855
Central Asia,Both,25-29,Lower respiratory infections,70.86721,48.89816,95.45147
Central Asia,Both,30-34,Lower respiratory infections,80.68716,55.17475,108.95148
Central Asia,Both,35-39,Lower respiratory infections,101.74613,68.08237,138.26641
Central Asia,Both,40-44,Lower respiratory infections,111.71293,74.05023,152.3383
Central Asia,Both,45-49,Lower respiratory infections,116.94664,77.75617,159.85277
Central Asia,Both,50-54,Lower respiratory infections,124.67957,82.81755,170.46502
Central Asia,Both,55-59,Lower respiratory infections,173.20333,115.24699,236.0374
Central Asia,Both,80+,"Trachea, bronchus, lung cancers",58.23877,33.23166,90.05535
Central Asia,Both,All,"Trachea, bronchus, lung cancers",980.61376,568.05821,1495.83758
Central Asia,Female,25-29,Ischaemic heart disease,28.95888,19.83147,37.11454
Central Asia,Female,30-34,Ischaemic heart disease,54.22408,37.11426,69.41171
Central Asia,Female,35-39,Ischaemic heart disease,81.98187,55.99708,104.94379
Central Asia,Female,40-44,Ischaemic heart disease,124.67564,85.46355,159.41123
Central Asia,Female,45-49,Ischaemic heart disease,224.57304,153.23304,287.41607
Central Asia,Female,50-54,Ischaemic heart disease,349.7325,239.37923,447.63919
Central Asia,Female,55-59,Ischaemic heart disease,758.36923,518.79482,970.44122
Central Asia,Female,60-64,Ischaemic heart disease,1104.5567,755.64823,1413.85482
Central Asia,Female,65-69,Ischaemic heart disease,1900.44069,1300.48405,2432.74089
Central Asia,Female,70-74,Ischaemic heart disease,1629.09546,1113.17551,2086.97754
Central Asia,Female,75-79,Ischaemic heart disease,2568.50575,1749.50882,3296.55737
Central Asia,Female,80+,Ischaemic heart disease,7382.74571,5020.55847,9469.69783
Central Asia,Female,All,Ischaemic heart disease,16207.85953,11028.8233,20800.7721
Central Asia,Female,25-29,Stroke,10.65834,5.60738,16.18791
Central Asia,Female,30-34,Stroke,18.30241,9.75641,27.6214
Central Asia,Female,35-39,Stroke,33.59745,17.87983,50.78097
Central Asia,Female,40-44,Stroke,58.42097,31.20963,88.52574
Central Asia,Female,45-49,Stroke,106.12494,56.22197,160.76849
Central Asia,Both,30-34,Chronic obstructive pulmonary disease,15.57337,6.10169,29.03757
Central Asia,Both,35-39,Chronic obstructive pulmonary disease,22.70589,8.73485,42.8729
Central Asia,Both,40-44,Chronic obstructive pulmonary disease,31.2736,11.90083,59.44056
Central Asia,Both,45-49,Chronic obstructive pulmonary disease,44.03879,16.53174,84.15895
Central Asia,Both,50-54,Chronic obstructive pulmonary disease,65.38925,24.39689,125.05117
Central Asia,Both,55-59,Chronic obstructive pulmonary disease,128.85612,47.62082,247.58186
Central Asia,Both,60-64,Chronic obstructive pulmonary disease,206.21529,75.61109,397.96988
Central Asia,Both,65-69,Chronic obstructive pulmonary disease,319.25843,115.02602,619.83138
Central Asia,Both,70-74,Chronic obstructive pulmonary disease,255.85973,92.52568,495.90368
Central Asia,Both,75-79,Chronic obstructive pulmonary disease,344.30364,124.81649,668.96292
Central Asia,Both,80+,Chronic obstructive pulmonary disease,716.74903,256.77617,1395.56316
Central Asia,Both,All,Chronic obstructive pulmonary disease,2160.31223,779.16623,4192.31652
Central Asia,Both,0-4,Lower respiratory infections,1215.90989,855.77931,1627.55896
Central Asia,Both,60-64,Lower respiratory infections,180.98237,120.06453,247.37339
Central Asia,Both,30-34,"Trachea, bronchus, lung cancers",9.61864,5.60114,14.76838
Central Asia,Both,35-39,"Trachea, bronchus, lung cancers",9.98454,5.91077,15.23791
Central Asia,Both,40-44,"Trachea, bronchus, lung cancers",21.13662,12.4968,32.37012
Central Asia,Both,45-49,"Trachea, bronchus, lung cancers",49.29713,28.97501,75.45811
Central Asia,Both,50-54,"Trachea, bronchus, lung cancers",96.52054,56.13804,147.82061
Central Asia,Both,55-59,"Trachea, bronchus, lung cancers",181.91749,105.51388,277.83014
Central Asia,Both,60-64,"Trachea, bronchus, lung cancers",204.92999,118.4605,313.0534
Central Asia,Both,65-69,"Trachea, bronchus, lung cancers",185.53155,106.70086,285.92381
Central Asia,Both,70-74,"Trachea, bronchus, lung cancers",92.92539,53.38067,143.28633
Central Asia,Both,75-79,"Trachea, bronchus, lung cancers",63.88444,36.38492,98.46535
Central Asia,Female,60-64,Chronic obstructive pulmonary disease,68.45047,26.0465,129.86885
Central Asia,Female,20-24,Lower respiratory infections,32.39004,22.21371,43.78462
Central Asia,Female,25-29,Lower respiratory infections,34.26075,23.83684,46.09061
Central Asia,Female,30-34,Lower respiratory infections,34.81701,24.18948,46.96458
Central Asia,Female,35-39,Lower respiratory infections,37.51664,25.76638,50.57079
Central Asia,Female,40-44,Lower respiratory infections,38.03262,25.72616,51.39655
Central Asia,Female,45-49,Lower respiratory infections,38.24166,25.68277,51.80811
Central Asia,Female,50-54,Lower respiratory infections,39.9649,26.9705,54.12793
Central Asia,Female,65-69,Chronic obstructive pulmonary disease,109.35729,40.58642,210.0975
Central Asia,Female,70-74,Chronic obstructive pulmonary disease,96.43546,35.50705,185.71496
Central Asia,Female,75-79,Chronic obstructive pulmonary disease,148.79182,53.63458,289.34142
Central Asia,Female,80+,Chronic obstructive pulmonary disease,390.46111,139.66993,761.11835
Central Asia,Female,All,Chronic obstructive pulmonary disease,925.54325,334.59157,1790.18249
Central Asia,Female,0-4,Lower respiratory infections,505.75423,356.23672,676.23088
Central Asia,Female,5-9,Lower respiratory infections,58.45093,39.9444,79.60774
Central Asia,Female,10-14,Lower respiratory infections,39.98501,27.28813,54.24674
Central Asia,Female,15-19,Lower respiratory infections,28.0121,19.2193,37.80035
Central Asia,Female,50-54,Stroke,176.14659,93.43616,266.29451
Central Asia,Female,55-59,Stroke,346.16949,182.88127,524.54702
Central Asia,Female,60-64,Stroke,442.65769,235.9029,668.82076
Central Asia,Female,65-69,Stroke,677.07512,358.15485,1022.29967
Central Asia,Female,70-74,Stroke,520.96986,277.85554,787.70327
Central Asia,Female,75-79,Stroke,730.94417,387.55366,1100.9572
Central Asia,Female,80+,Stroke,1807.51255,955.19389,2737.18393
Central Asia,Female,70-74,"Trachea, bronchus, lung cancers",22.29381,12.92135,34.04493
Central Asia,Female,75-79,"Trachea, bronchus, lung cancers",18.08471,10.40865,27.83045
Central Asia,Female,80+,"Trachea, bronchus, lung cancers",21.05899,12.0294,32.40651
Central Asia,Female,All,"Trachea, bronchus, lung cancers",232.21346,136.16345,355.27974
Central Asia,Male,25-29,Ischaemic heart disease,50.06894,34.12264,64.1318
Central Asia,Male,30-34,Ischaemic heart disease,106.81723,72.95283,136.67482
Central Asia,Male,35-39,Ischaemic heart disease,196.6518,134.48316,252.11572
Central Asia,Male,40-44,Ischaemic heart disease,342.20528,233.82838,438.97978
