UN SDG Region,Sex,Age Group,Cause,Value,Low,High
Australia and New Zealand,Both,60-64,Ischaemic heart disease,166.24934,92.14456,231.43031
Australia and New Zealand,Both,65-69,Ischaemic heart disease,213.40315,118.2665,297.07291
Australia and New Zealand,Both,70-74,Ischaemic heart disease,306.39099,169.86978,426.22756
Australia and New Zealand,Both,75-79,Ischaemic heart disease,387.96795,215.07742,539.82687
Australia and New Zealand,Both,80+,Ischaemic heart disease,2579.57788,1430.38947,3587.34674
Australia and New Zealand,Both,All,Ischaemic heart disease,3961.56059,2196.46112,5510.51989
Australia and New Zealand,Both,25-29,Stroke,0.47098,0.17305,0.8645
Australia and New Zealand,Both,30-34,Stroke,1.2618,0.46352,2.31849
Australia and New Zealand,Both,35-39,Stroke,2.78396,1.02267,5.11649
Australia and New Zealand,Both,40-44,Stroke,5.01503,1.84237,9.21175
Australia and New Zealand,Both,45-49,Stroke,9.19307,3.37732,16.88443
Australia and New Zealand,Both,50-54,Stroke,13.64623,5.01351,25.05699
Australia and New Zealand,Both,55-59,Stroke,19.04114,6.99519,34.97413
Australia and New Zealand,Both,75-79,Chronic obstructive pulmonary disease,111.70887,21.47644,284.01817
Australia and New Zealand,Both,80+,Chronic obstructive pulmonary disease,391.51447,75.24843,995.3528
Australia and New Zealand,Both,All,Chronic obstructive pulmonary disease,715.49051,137.53451,1819.05865
Australia and New Zealand,Both,0-4,Lower respiratory infections,3.48861,1.10605,7.11627
Australia and New Zealand,Both,5-9,Lower respiratory infections,0.36709,0.11833,0.74405
Australia and New Zealand,Both,10-14,Lower respiratory infections,0.23248,0.07485,0.47152
Australia and New Zealand,Both,15-19,Lower respiratory infections,0.20518,0.06689,0.41316
Australia and New Zealand,Both,20-24,Lower respiratory infections,0.38305,0.12459,0.77235
Australia and New Zealand,Both,25-29,Lower respiratory infections,0.40305,0.12994,0.81688
Australia and New Zealand,Both,30-34,Lower respiratory infections,0.83272,0.27155,1.67646
Australia and New Zealand,Both,35-39,Lower respiratory infections,1.51262,0.49372,3.04358
Australia and New Zealand,Both,25-29,Ischaemic heart disease,1.53782,0.85344,2.1353
Australia and New Zealand,Both,30-34,Ischaemic heart disease,5.76576,3.19839,8.01213
Australia and New Zealand,Both,35-39,Ischaemic heart disease,13.33285,7.39384,18.53795
Australia and New Zealand,Both,40-44,Ischaemic heart disease,25.40535,14.08969,35.31856
Australia and New Zealand,Both,45-49,Ischaemic heart disease,51.27906,28.4251,71.36457
Australia and New Zealand,Both,50-54,Ischaemic heart disease,82.68225,45.83471,115.05591
Australia and New Zealand,Both,55-59,Ischaemic heart disease,127.96819,70.93553,178.09212
Australia and New Zealand,Both,80+,Stroke,685.91003,251.96881,1260.32008
Australia and New Zealand,Both,All,Stroke,966.98574,355.22787,1776.60082
Australia and New Zealand,Both,25-29,Chronic obstructive pulmonary disease,0.10389,0.02027,0.26403
Australia and New Zealand,Both,30-34,Chronic obstructive pulmonary disease,0.11598,0.0223,0.29489
Australia and New Zealand,Both,35-39,Chronic obstructive pulmonary disease,0.33364,0.06448,0.8481
Australia and New Zealand,Both,40-44,Chronic obstructive pulmonary disease,1.02586,0.19769,2.60777
Australia and New Zealand,Both,45-49,Chronic obstructive pulmonary disease,3.52746,0.67811,8.96833
Australia and New Zealand,Both,50-54,Chronic obstructive pulmonary disease,7.51017,1.43561,19.09556
Australia and New Zealand,Both,55-59,Chronic obstructive pulmonary disease,18.59564,3.56571,47.28065
Australia and New Zealand,Both,60-64,Chronic obstructive pulmonary disease,32.94843,6.33396,83.76934
Australia and New Zealand,Both,65-69,Chronic obstructive pulmonary disease,53.64615,10.29285,136.3983
Australia and New Zealand,Both,70-74,Chronic obstructive pulmonary disease,94.45995,18.15951,240.16069
Australia and New Zealand,Both,60-64,Stroke,24.0915,8.85182,44.21435
Australia and New Zealand,Both,65-69,Stroke,38.31012,14.07424,70.3617
Australia and New Zealand,Both,70-74,Stroke,64.97114,23.86754,119.36833
Australia and New Zealand,Both,75-79,Stroke,102.29074,37.57793,187.90958
Australia and New Zealand,Both,All,Lower respiratory infections,490.79162,159.23043,991.06834
Australia and New Zealand,Female,30-34,Ischaemic heart disease,1.02468,0.56882,1.42212
Australia and New Zealand,Female,35-39,Ischaemic heart disease,2.49611,1.38343,3.47502
Australia and New Zealand,Both,25-29,"Trachea, bronchus, lung cancers",0.05671,0.02648,0.10267
Australia and New Zealand,Both,30-34,"Trachea, bronchus, lung cancers",0.30135,0.14073,0.54564
Australia and New Zealand,Both,35-39,"Trachea, bronchus, lung cancers",0.70356,0.3283,1.27237
Australia and New Zealand,Both,40-44,"Trachea, bronchus, lung cancers",2.31959,1.08327,4.19988
Australia and New Zealand,Both,45-49,"Trachea, bronchus, lung cancers",6.24269,2.91618,11.30964
Australia and New Zealand,Both,50-54,"Trachea, bronchus, lung cancers",12.68233,5.92334,22.96755
Australia and New Zealand,Both,55-59,"Trachea, bronchus, lung cancers",25.90912,12.09589,46.88763
Australia and New Zealand,Both,60-64,"Trachea, bronchus, lung cancers",38.70223,18.06523,70.01776
Australia and New Zealand,Both,65-69,"Trachea, bronchus, lung cancers",52.00985,24.2756,94.0832
Australia and New Zealand,Both,70-74,"Trachea, bronchus, lung cancers",68.26875,31.86437,123.49416
Australia and New Zealand,Both,75-79,"Trachea, bronchus, lung cancers",63.77094,29.76913,115.38922
Australia and New Zealand,Both,40-44,Lower respiratory infections,2.2012,0.7168,4.43523
Australia and New Zealand,Both,80+,"Trachea, bronchus, lung cancers",112.31109,52.41449,203.11332
Australia and New Zealand,Both,All,"Trachea, bronchus, lung cancers",383.2782,178.90149,693.37993
Australia and New Zealand,Both,45-49,Lower respiratory infections,3.25495,1.05836,6.56426
Australia and New Zealand,Both,50-54,Lower respiratory infections,4.65668,1.51245,9.39735
Australia and New Zealand,Both,55-59,Lower respiratory infections,5.92707,1.92503,11.96116
Australia and New Zealand,Both,60-64,Lower respiratory infections,8.96135,2.92302,18.03861
Australia and New Zealand,Both,65-69,Lower respiratory infections,13.29707,4.32543,26.80958
Australia and New Zealand,Female,75-79,Stroke,49.83789,18.30945,91.52867
Australia and New Zealand,Female,80+,Stroke,436.10827,160.20462,801.31164
Australia and New Zealand,Female,All,Stroke,564.0663,207.21454,1036.28996
Australia and New Zealand,Female,25-29,Chronic obstructive pulmonary disease,0.03881,0.00756,0.09863
Australia and New Zealand,Female,30-34,Chronic obstructive pulmonary disease,0.06673,0.01303,0.1696
Australia and New Zealand,Female,35-39,Chronic obstructive pulmonary disease,0.12899,0.0248,0.32795
Australia and New Zealand,Female,40-44,Chronic obstructive pulmonary disease,0.5155,0.09975,1.31034
Australia and New Zealand,Both,70-74,Lower respiratory infections,20.20644,6.57661,40.72697
Australia and New Zealand,Both,75-79,Lower respiratory infections,31.93847,10.3974,64.36475
Australia and New Zealand,Both,80+,Lower respiratory infections,392.92359,127.40939,793.69097
Australia and New Zealand,Female,25-29,Ischaemic heart disease,0.10644,0.05905,0.14786
Australia and New Zealand,Female,40-44,Ischaemic heart disease,5.4323,3.01489,7.54229
Australia and New Zealand,Female,45-49,Ischaemic heart disease,10.45679,5.79666,14.5513
Australia and New Zealand,Female,50-54,Ischaemic heart disease,15.72821,8.71876,21.88725
Australia and New Zealand,Female,55-59,Ischaemic heart disease,25.41203,14.08181,35.36912
Australia and New Zealand,Female,60-64,Ischaemic heart disease,34.0085,18.84873,47.34586
Australia and New Zealand,Female,65-69,Ischaemic heart disease,52.88087,29.29683,73.57063
Australia and New Zealand,Female,70-74,Ischaemic heart disease,85.976,47.66446,119.6173
Australia and New Zealand,Female,75-79,Ischaemic heart disease,134.15962,74.36447,186.72632
Australia and New Zealand,Female,80+,Ischaemic heart disease,1378.58494,764.43312,1917.15666
Australia and New Zealand,Female,All,Ischaemic heart disease,1746.26647,968.2225,2428.96065
Australia and New Zealand,Female,25-29,Stroke,0.14699,0.05329,0.26945
Australia and New Zealand,Female,30-34,Stroke,0.70073,0.25743,1.28689
Australia and New Zealand,Female,35-39,Stroke,1.19513,0.43903,2.19703
Australia and New Zealand,Female,40-44,Stroke,2.39418,0.8795,4.39916
Australia and New Zealand,Female,45-49,Stroke,4.26154,1.56565,7.82512
Australia and New Zealand,Female,50-54,Stroke,6.71427,2.46679,12.32801
Australia and New Zealand,Female,55-59,Stroke,8.47955,3.11548,15.56506
Australia and New Zealand,Female,60-64,Stroke,9.85832,3.62232,18.08971
Australia and New Zealand,Female,65-69,Stroke,16.85127,6.1911,30.9394
Australia and New Zealand,Female,70-74,Stroke,27.51816,10.10922,50.55021
Australia and New Zealand,Female,70-74,Chronic obstructive pulmonary disease,44.49921,8.55537,113.13931
Australia and New Zealand,Female,80+,Lower respiratory infections,232.43784,75.29607,469.78424
Australia and New Zealand,Female,All,Lower respiratory infections,274.10656,88.8542,553.78478
Australia and New Zealand,Female,75-79,Chronic obstructive pulmonary disease,50.60799,9.72841,128.67169
Australia and New Zealand,Female,80+,Chronic obstructive pulmonary disease,189.35548,36.39438,481.40289
Australia and New Zealand,Female,All,Chronic obstructive pulmonary disease,340.63065,65.4807,866.02742
Australia and New Zealand,Female,0-4,Lower respiratory infections,1.55376,0.49312,3.16937
Australia and New Zealand,Female,5-9,Lower respiratory infections,0.1325,0.04162,0.27028
Australia and New Zealand,Female,10-14,Lower respiratory infections,0.06237,0.01966,0.12723
Australia and New Zealand,Female,15-19,Lower respiratory infections,0.14165,0.04597,0.28598
Australia and New Zealand,Female,20-24,Lower respiratory infections,0.14968,0.04928,0.29964
Australia and New Zealand,Female,25-29,Lower respiratory infections,0.17137,0.05641,0.34305
Australia and New Zealand,Female,30-34,Lower respiratory infections,0.25678,0.08368,0.51716
Australia and New Zealand,Female,35-39,Lower respiratory infections,0.74133,0.24321,1.4871
Australia and New Zealand,Female,40-44,Lower respiratory infections,1.00501,0.32771,2.02341
Australia and New Zealand,Female,45-49,Lower respiratory infections,1.22521,0.40006,2.46472
Australia and New Zealand,Female,50-54,Lower respiratory infections,1.94765,0.63302,3.92883
Australia and New Zealand,Female,55-59,Lower respiratory infections,2.55544,0.83162,5.15097
Australia and New Zealand,Female,60-64,Lower respiratory infections,3.40274,1.11229,6.84072
Australia and New Zealand,Female,65-69,Lower respiratory infections,5.28587,1.71777,10.66358
Australia and New Zealand,Female,70-74,Lower respiratory infections,8.14792,2.64517,16.44718
Australia and New Zealand,Female,75-79,Lower respiratory infections,14.88943,4.85755,29.96813
Australia and New Zealand,Female,45-49,Chronic obstructive pulmonary disease,1.63737,0.31215,4.16331
Australia and New Zealand,Female,50-54,Chronic obstructive pulmonary disease,3.52758,0.67023,8.97007
Australia and New Zealand,Female,55-59,Chronic obstructive pulmonary disease,8.69384,1.65177,22.10672
Australia and New Zealand,Female,60-64,Chronic obstructive pulmonary disease,15.12809,2.90748,38.4635
Australia and New Zealand,Male,70-74,Ischaemic heart disease,220.41499,122.20532,306.61024
Australia and New Zealand,Male,75-79,Ischaemic heart disease,253.80833,140.71295,353.10056
Australia and New Zealand,Male,80+,Ischaemic heart disease,1200.99294,665.95635,1670.19008
Australia and New Zealand,Male,All,Ischaemic heart disease,2215.29412,1228.23963,3081.55924
Australia and New Zealand,Female,65-69,Chronic obstructive pulmonary disease,26.43107,5.06209,67.2034
Australia and New Zealand,Female,25-29,"Trachea, bronchus, lung cancers",0.03387,0.01585,0.06157
Australia and New Zealand,Female,30-34,"Trachea, bronchus, lung cancers",0.22463,0.10493,0.40695
Australia and New Zealand,Female,35-39,"Trachea, bronchus, lung cancers",0.34826,0.16244,0.6306
Australia and New Zealand,Female,40-44,"Trachea, bronchus, lung cancers",0.99626,0.4655,1.80585
Australia and New Zealand,Female,45-49,"Trachea, bronchus, lung cancers",2.9654,1.38528,5.37257
Australia and New Zealand,Female,50-54,"Trachea, bronchus, lung cancers",5.75784,2.69019,10.43532
Australia and New Zealand,Female,55-59,"Trachea, bronchus, lung cancers",11.97498,5.5921,21.67937
Australia and New Zealand,Female,60-64,"Trachea, bronchus, lung cancers",16.06788,7.50224,29.08249
Australia and New Zealand,Female,65-69,"Trachea, bronchus, lung cancers",21.33626,9.9611,38.61262
Australia and New Zealand,Female,70-74,"Trachea, bronchus, lung cancers",28.57002,13.33771,51.7006
Australia and New Zealand,Female,75-79,"Trachea, bronchus, lung cancers",26.244,12.2577,47.53023
Australia and New Zealand,Female,80+,"Trachea, bronchus, lung cancers",45.92944,21.4376,83.08429
Australia and New Zealand,Female,All,"Trachea, bronchus, lung cancers",160.44884,74.91184,290.39106
Australia and New Zealand,Male,25-29,Ischaemic heart disease,1.43138,0.79439,1.98744
Australia and New Zealand,Male,30-34,Ischaemic heart disease,4.74108,2.62958,6.59002
Australia and New Zealand,Male,35-39,Ischaemic heart disease,10.83674,6.01047,15.06283
Australia and New Zealand,Male,40-44,Ischaemic heart disease,19.97305,11.0751,27.77627
Australia and New Zealand,Male,45-49,Ischaemic heart disease,40.82227,22.62844,56.81326
Australia and New Zealand,Male,50-54,Ischaemic heart disease,66.95404,37.11595,93.16866
Australia and New Zealand,Male,55-59,Ischaemic heart disease,102.55616,56.85373,142.70015
Australia and New Zealand,Male,60-64,Ischaemic heart disease,132.24084,73.29583,184.08445
Australia and New Zealand,Male,65-69,Ischaemic heart disease,160.52228,88.96967,223.46148
Australia and New Zealand,Male,35-39,Stroke,1.58884,0.58366,2.91946
