Country,UN SDG Region
Kazakhstan,Central Asia and Southern Asia
Kyrgyzstan,Central Asia and Southern Asia
Tajikistan,Central Asia and Southern Asia
Turkmenistan ,Central Asia and Southern Asia
Uzbekistan,Central Asia and Southern Asia
China,Eastern Asia and South-eastern Asia
Republic of Korea,Eastern Asia and South-eastern Asia
Japan,Eastern Asia and South-eastern Asia
Mongolia,Eastern Asia and South-eastern Asia
Brunei Darussalam,Eastern Asia and South-eastern Asia
Cambodia,Eastern Asia and South-eastern Asia
Indonesia,Eastern Asia and South-eastern Asia
Lao People's Democratic Republic,Eastern Asia and South-eastern Asia
Malaysia,Eastern Asia and South-eastern Asia
Myanmar,Eastern Asia and South-eastern Asia
Philippines,Eastern Asia and South-eastern Asia
Singapore,Eastern Asia and South-eastern Asia
Thailand,Eastern Asia and South-eastern Asia
Timor-Leste,Eastern Asia and South-eastern Asia
Viet Nam,Eastern Asia and South-eastern Asia
Afghanistan,Central Asia and Southern Asia
Bangladesh,Central Asia and Southern Asia
Bhutan,Central Asia and Southern Asia
India,Central Asia and Southern Asia
Iran (Islamic Republic of),Central Asia and Southern Asia
Maldives,Central Asia and Southern Asia
Nepal,Central Asia and Southern Asia
Pakistan,Central Asia and Southern Asia
Sri Lanka,Central Asia and Southern Asia
Armenia,Western Asia and Northern Africa
Azerbaijan,Western Asia and Northern Africa
Bahrain,Western Asia and Northern Africa
Cyprus,Western Asia and Northern Africa
Georgia,Western Asia and Northern Africa
Iraq,Western Asia and Northern Africa
Israel,Western Asia and Northern Africa
Jordan,Western Asia and Northern Africa
Kuwait,Western Asia and Northern Africa
Lebanon,Western Asia and Northern Africa
Oman,Western Asia and Northern Africa
Qatar,Western Asia and Northern Africa
Saudi Arabia,Western Asia and Northern Africa
Syrian Arab Republic,Western Asia and Northern Africa
Türkiye,Western Asia and Northern Africa
United Arab Emirates,Western Asia and Northern Africa
Yemen,Western Asia and Northern Africa
Belarus,Europe and Northern America
Bulgaria,Europe and Northern America
Czechia,Europe and Northern America
Hungary,Europe and Northern America
Poland,Europe and Northern America
Republic of Moldova,Europe and Northern America
Romania,Europe and Northern America
Russian Federation,Europe and Northern America
Slovakia,Europe and Northern America
Ukraine,Europe and Northern America
Guernsey,Europe and Northern America
Jersey,Europe and Northern America
Sark,Europe and Northern America
Denmark,Europe and Northern America
Estonia,Europe and Northern America
Faroe Islands,Europe and Northern America
Finland,Europe and Northern America
Iceland,Europe and Northern America
Ireland,Europe and Northern America
Isle of Man,Europe and Northern America
Latvia,Europe and Northern America
Lithuania,Europe and Northern America
Norway,Europe and Northern America
Svalbard and Jan Mayen Islands,Europe and Northern America
Sweden,Europe and Northern America
United Kingdom of Great Britain and Northern Ireland,Europe and Northern America
Albania,Europe and Northern America
Andorra,Europe and Northern America
Bosnia and Herzegovina,Europe and Northern America
Croatia,Europe and Northern America
Gibraltar,Europe and Northern America
Greece,Europe and Northern America
Italy,Europe and Northern America
Malta,Europe and Northern America
Montenegro,Europe and Northern America
North Macedonia,Europe and Northern America
Portugal,Europe and Northern America
San Marino,Europe and Northern America
Serbia,Europe and Northern America
Slovenia,Europe and Northern America
Spain,Europe and Northern America
Austria,Europe and Northern America
Belgium,Europe and Northern America
France,Europe and Northern America
Germany,Europe and Northern America
Liechtenstein,Europe and Northern America
Luxembourg,Europe and Northern America
