Words,Words_Count
the,155
of,110
and,106
in,63
to,53
plasmids,46
that,33
is,33
was,27
region,26
from,25
as,24
conjugation,23
plasmid,22
were,22
putative,21
k,20
by,19
an,18
genes,18
are,17
gene,17
pneumoniae,17
it,16
transfer,15
other,14
be,14
sequence,13
its,13
using,13
protein,12
coli,12
which,12
e,11
for,11
has,11
system,11
leading,10
also,10
regions,10
unknow,10
kb,10
replication,10
strain,10
partition,9
with,9
or,9
been,9
analysis,9
between,8
than,8
could,8
most,8
two,8
orfs,8
strains,8
related,8
such,8
isolated,8
not,8
but,8
similar,7
gc,7
contains,7
insertion,7
on,7
have,7
their,6
conserved,6
conjugative,6
encodes,6
promoter,6
bp,6
into,6
we,6
three,6
predicted,6
different,6
found,6
more,6
iron,6
backbone,6
sequences,6
one,5
antibiotic,5
function,5
eitabcd,5
nucleotide,5
these,5
no,5
this,5
resistance,5
containing,5
genetic,5
china,5
content,5
five,5
hosts,5
however,5
repeat,5
upstream,5
site,5
systems,5
proteins,5
bacteria,5
genera,5
elements,5
common,4
through,4
thus,4
they,4
highly,4
frequently,4
escherichia,4
esbl,4
encode,4
general,4
downstream,4
dna,4
high,4
selected,4
there,4
host,4
tmhmm,4
structure,4
identical,4
identity,4
immediately,4
incompatibility,4
infection,4
human,4
signalp,4
together,4
transferred,4
mic,4
might,4
bacterial,4
used,4
variable,4
antibiotics,4
only,4
box,4
among,4
orf,4
can,4
located,4
like,4
when,4
accessory,4
software,3
examined,3
domain,3
four,3
single,3
diverse,3
health,3
sequenced,3
performed,3
shigella,3
atpase,3
direct,3
chromosomes,3
module,3
f,3
showed,3
shown,3
same,3
had,3
groups,3
especially,3
genus,3
parc,3
further,3
esbls,3
even,3
phylogeny,3
across,3
some,3
species,3
encoding,3
encoded,3
important,3
element,3
evolution,3
wenzhou,3
evolutionary,3
well,3
efficient,3
public,3
process,3
database,3
initiation,3
revealed,3
results,3
map,3
indicates,3
result,3
transport,3
long,3
those,3
copb,3
composed,3
inverted,3
transconjugants,3
repeats,3
cluster,3
replicon,3
closely,3
blastn,3
except,3
binds,3
reading,2
reported,2
signal,2
incfii,2
search,2
functional,2
repa,2
functions,2
irl,2
represent,2
regulator,2
included,2
likely,2
respectively,2
identified,2
including,2
gel,2
parm,2
parr,2
repfii,2
frequent,2
shows,2
japan,2
implying,2
first,2
kegg,2
peptides,2
implicated,2
purified,2
flexneri,2
klebsiella,2
pathogenicity,2
pathogenesis,2
pathogen,2
aa,2
frames,2
outbreak,2
identification,2
named,2
our,2
hydrolysis,2
harboring,2
open,2
profiles,2
recent,2
seems,2
mb,2
moreover,2
observed,2
number,2
present,2
negative,2
quickly,2
nature,2
mediate,2
operon,2
seemed,2
recently,2
restriction,2
responsible,2
orit,2
origin,2
organized,2
iatrogenic,2
generated,2
method,2
infections,2
main,2
information,2
genome,2
receptor,2
pneumonia,2
greatly,2
recipient,2
patient,2
far,2
tendency,2
though,2
complex,2
confirmed,2
conjugal,2
urinary,2
constructed,2
contain,2
them,2
contexts,2
control,2
copa,2
ascorbata,2
comparison,2
target,2
defined,2
vary,2
surrounding,2
dendrogram,2
superfamily,2
very,2
suggesting,2
studies,2
studied,2
structures,2
unkonw,2
unknown,2
annotated,2
ceftriaxone,2
transposon,2
canada,2
care,2
tree,2
truncated,2
tryptic,2
cause,2
caused,2
bioinformatics,2
binding,2
ceftazidime,2
certain,2
threat,2
better,2
uncharacterized,2
tract,2
significant,2
clinical,2
clinically,2
clustalw,2
clustered,2
coding,2
column,2
comparative,2
digestion,2
broad,2
stability,2
experiments,2
domains,2
all,2
electrophoresis,2
agar,2
against,2
activity,2
while,2
patients,2
during,2
six,2
exist,2
adjacent,2
where,2
skew,2
ecori,2
spread,2
small,2
soy,2
years,2
acid,2
factor,2
distant,2
distantly,2
almost,2
ampicillin,2
acquired,2
fact,2
amino,2
acquisition,2
widespread,1
unique,1
uniquely,1
uniform,1
permease,1
why,1
volume,1
perl,1
provides,1
world,1
trax,1
treating,1
reason,1
year,1
real,1
written,1
period,1
quite,1
typical,1
type,1
qiaquick,1
without,1
periplasmic,1
pfam,1
will,1
psib,1
prosite,1
up,1
phenotype,1
previous,1
plays,1
prediction,1
transposition,1
plus,1
precisely,1
vector,1
washington,1
possible,1
via,1
virulence,1
wards,1
poor,1
vitek,1
pneunomiae,1
vitro,1
various,1
previously,1
promoters,1
primary,1
university,1
phylogenetic,1
promote,1
pirsf,1
prodom,1
vivo,1
whose,1
uptake,1
usa,1
probable,1
whether,1
usage,1
plates,1
prints,1
usually,1
predict,1
trac,1
transports,1
stake,1
server,1
serve,1
serious,1
spreading,1
ssb,1
sequencing,1
stable,1
stably,1
sequencer,1
starin,1
several,1
start,1
septicemia,1
sensitivity,1
status,1
seen,1
strand,1
strength,1
streptomycin,1
subfamily,1
settings,1
speed,1
recombination,1
slightly,1
showes,1
show,1
shotgun,1
similarity,1
similarly,1
since,1
shed,1
shearing,1
sheared,1
smai,1
spectrum,1
smallest,1
smart,1
sharing,1
sodium,1
solutes,1
share,1
spanning,1
specific,1
spectra,1
subjected,1
successful,1
second,1
remains,1
tif,1
tigrfams,1
time,1
trad,1
traditional,1
trag,1
replicated,1
trai,1
transconjugant,1
transglycosylase,1
seattle,1
relevance,1
relatives,1
relationship,1
translation,1
regulators,1
transmissible,1
transmission,1
recovered,1
recombined,1
report,1
threats,1
representative,1
repressor,1
supporting,1
susceptibility,1
role,1
table,1
rnaii,1
rnai,1
term,1
test,1
rna,1
right,1
reveals,1
resulting,1
then,1
thereby,1
thirteen,1
response,1
resistant,1
thought,1
resist,1
a,1
laboratory,1
pathways,1
daughter,1
considered,1
considering,1
consist,1
consisting,1
consists,1
construct,1
contained,1
contributed,1
copies,1
copt,1
covering,1
cross,1
cycle,1
dangerous,1
data,1
conducted,1
composition,1
complete,1
clones,1
chemiosmotic,1
chosen,1
chromosomal,1
circular,1
classical,1
classified,1
closer,1
comparisons,1
code,1
coincides,1
collected,1
college,1
columns,1
compared,1
date,1
default,1
enzyme,1
deletion,1
distance,1
distribute,1
distribution,1
divided,1
do,1
doc,1
donor,1
drug,1
ecological,1
eitabc,1
eitd,1
emerging,1
enable,1
enhanced,1
enterobacteriaceae,1
disseminates,1
disseminate,1
displays,1
detailed,1
demonstrated,1
dendrograms,1
deposited,1
depth,1
derivative,1
derived,1
determinants,1
dispersed,1
determined,1
device,1
difficulty,1
digeested,1
directly,1
discrepant,1
characteristic,1
channel,1
changeable,1
cgview,1
ambiguous,1
amoxicillin,1
analyzed,1
ancestor,1
annotations,1
antisense,1
any,1
apec,1
apparently,1
area,1
around,1
arrangement,1
array,1
assay,1
assembled,1
allows,1
alkaline,1
alignments,1
accession,1
abi,1
ability,1
able,1
about,1
above,1
absolutely,1
accorded,1
agarose,1
according,1
active,1
adaptive,1
affiliated,1
after,1
again,1
assembly,1
assigned,1
associated,1
card,1
blastp,1
bordering,1
both,1
boxes,1
bprom,1
called,1
carries,1
bird,1
carry,1
carrying,1
causing,1
cefazolin,1
cefotaxime,1
cells,1
blast,1
bioperl,1
at,1
azr,1
atypical,1
automated,1
average,1
avian,1
avoiding,1
azide,1
backbones,1
biomerieux,1
bacterium,1
barriers,1
barring,1
basic,1
belong,1
belonging,1
environments,1
equal,1
pathway,1
mitosis,1
mainly,1
maintained,1
matched,1
materials,1
may,1
mechanism,1
medical,1
medium,1
members,1
membrane,1
meningitis,1
metabolic,1
metabolism,1
methods,1
methylase,1
made,1
machinery,1
lytic,1
lineage,1
large,1
left,1
less,1
library,1
ligated,1
light,1
lipase,1
lysis,1
lipid,1
liquid,1
location,1
loci,1
lost,1
lower,1
mgh,1
mobile,1
essential,1
modification,1
order,1
orderly,1
organization,1
ori,1
origins,1
over,1
overlap,1
package,1
pairing,1
para,1
parameters,1
parb,1
partitioning,1
passes,1
pathogenic,1
opposite,1
occupy,1
numbers,1
ncbi,1
modulate,1
modules,1
molecular,1
mosaic,1
multiple,1
natural,1
near,1
nt,1
nearby,1
neonatal,1
nevertheless,1
new,1
next,1
niche,1
kluyvera,1
killing,1
ion,1
involved,1
few,1
figure,1
fii,1
findings,1
fino,1
fitness,1
followed,1
form,1
fragments,1
fur,1
genbank,1
genetically,1
genomic,1
glimmer,1
gradients,1
ferric,1
features,1
fast,1
exhibits,1
ester,1
eukaryotes,1
events,1
example,1
exceptions,1
exchange,1
expected,1
fairly,1
experimentally,1
expression,1
extending,1
extracted,1
extraction,1
extremely,1
group,1
hand,1
harbored,1
inpatients,1
india,1
indicate,1
indicated,1
indication,1
inhibits,1
initially,1
inserted,1
increased,1
integrated,1
interestingly,1
interproscan,1
introduction,1
investigate,1
investigated,1
increasing,1
incompatible,1
hd,1
hydrolase,1
hgt,1
higher,1
homolog,1
homologues,1
horizontal,1
hospital,1
hydroshear,1
include,1
identify,1
identities,1
imaginable,1
imperfect,1
imply,1
incf,1
yes,1
